127.0.0.1 - - [20/Oct/2019:00:07:10 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [20/Oct/2019:00:07:13 +0530] "GET /travel/index.jsp HTTP/1.1" 200 2851
0:0:0:0:0:0:0:1 - - [20/Oct/2019:00:07:13 +0530] "GET /travel/style.css HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [20/Oct/2019:00:07:13 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [20/Oct/2019:00:07:21 +0530] "POST /travel/search HTTP/1.1" 200 1415
0:0:0:0:0:0:0:1 - - [20/Oct/2019:00:09:05 +0530] "POST /travel/search HTTP/1.1" 200 1444
0:0:0:0:0:0:0:1 - - [20/Oct/2019:00:10:42 +0530] "POST /travel/search HTTP/1.1" 200 1535
0:0:0:0:0:0:0:1 - - [20/Oct/2019:00:10:59 +0530] "POST /travel/search HTTP/1.1" 200 1544
0:0:0:0:0:0:0:1 - - [20/Oct/2019:00:11:16 +0530] "POST /travel/search HTTP/1.1" 200 1544
0:0:0:0:0:0:0:1 - - [20/Oct/2019:00:11:21 +0530] "POST /travel/search HTTP/1.1" 200 1544
0:0:0:0:0:0:0:1 - - [20/Oct/2019:00:11:25 +0530] "POST /travel/search HTTP/1.1" 200 1544
0:0:0:0:0:0:0:1 - - [20/Oct/2019:00:12:01 +0530] "POST /travel/search HTTP/1.1" 200 1545
0:0:0:0:0:0:0:1 - - [20/Oct/2019:00:13:55 +0530] "POST /travel/search HTTP/1.1" 200 1580
0:0:0:0:0:0:0:1 - - [20/Oct/2019:00:14:06 +0530] "POST /travel/search HTTP/1.1" 200 1580
0:0:0:0:0:0:0:1 - - [20/Oct/2019:00:14:38 +0530] "POST /travel/search HTTP/1.1" 200 1630
0:0:0:0:0:0:0:1 - - [20/Oct/2019:00:15:16 +0530] "POST /travel/search HTTP/1.1" 200 1693
0:0:0:0:0:0:0:1 - - [20/Oct/2019:00:15:34 +0530] "POST /travel/search HTTP/1.1" 200 1715
0:0:0:0:0:0:0:1 - - [20/Oct/2019:00:16:08 +0530] "POST /travel/search HTTP/1.1" 200 1719
0:0:0:0:0:0:0:1 - - [20/Oct/2019:00:16:37 +0530] "POST /travel/search HTTP/1.1" 200 1677
