127.0.0.1 - - [04/Nov/2019:23:24:17 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [04/Nov/2019:23:24:18 +0530] "GET /travel/index.jsp HTTP/1.1" 200 6615
0:0:0:0:0:0:0:1 - - [04/Nov/2019:23:24:18 +0530] "GET /travel/style.css HTTP/1.1" 200 107
0:0:0:0:0:0:0:1 - - [04/Nov/2019:23:24:19 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [04/Nov/2019:23:24:27 +0530] "POST /travel/search HTTP/1.1" 200 1844
0:0:0:0:0:0:0:1 - - [04/Nov/2019:23:24:34 +0530] "POST /travel/search HTTP/1.1" 200 1844
0:0:0:0:0:0:0:1 - - [04/Nov/2019:23:24:50 +0530] "POST /travel/search HTTP/1.1" 200 1844
0:0:0:0:0:0:0:1 - - [04/Nov/2019:23:25:51 +0530] "POST /travel/search HTTP/1.1" 200 1844
0:0:0:0:0:0:0:1 - - [04/Nov/2019:23:26:02 +0530] "POST /travel/search HTTP/1.1" 200 1844
0:0:0:0:0:0:0:1 - - [04/Nov/2019:23:28:08 +0530] "POST /travel/search HTTP/1.1" 500 2695
0:0:0:0:0:0:0:1 - - [04/Nov/2019:23:30:36 +0530] "POST /travel/search HTTP/1.1" 200 2776
0:0:0:0:0:0:0:1 - - [04/Nov/2019:23:35:22 +0530] "POST /travel/search HTTP/1.1" 200 4458
0:0:0:0:0:0:0:1 - - [04/Nov/2019:23:51:41 +0530] "POST /travel/search HTTP/1.1" 200 2776
0:0:0:0:0:0:0:1 - - [04/Nov/2019:23:52:39 +0530] "POST /travel/search HTTP/1.1" 200 2776
0:0:0:0:0:0:0:1 - - [04/Nov/2019:23:52:43 +0530] "POST /travel/search HTTP/1.1" 200 4458
0:0:0:0:0:0:0:1 - - [04/Nov/2019:23:59:18 +0530] "POST /travel/search HTTP/1.1" 500 4692
