127.0.0.1 - - [01/Dec/2019:00:19:18 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [01/Dec/2019:00:19:22 +0530] "GET /travel/index.jsp HTTP/1.1" 200 6399
0:0:0:0:0:0:0:1 - - [01/Dec/2019:00:19:22 +0530] "GET /travel/style.css HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [01/Dec/2019:00:19:22 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [01/Dec/2019:00:19:24 +0530] "GET /ShoppingApp/dashboard.jsp HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [01/Dec/2019:00:22:11 +0530] "GET /travel/index.jsp HTTP/1.1" 200 7605
0:0:0:0:0:0:0:1 - - [01/Dec/2019:00:22:11 +0530] "GET /travel/style.css HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [01/Dec/2019:00:22:19 +0530] "GET /travel/index.jsp HTTP/1.1" 200 7605
0:0:0:0:0:0:0:1 - - [01/Dec/2019:00:22:19 +0530] "GET /travel/style.css HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [01/Dec/2019:00:22:20 +0530] "GET /travel/index.jsp HTTP/1.1" 200 7605
0:0:0:0:0:0:0:1 - - [01/Dec/2019:00:22:20 +0530] "GET /travel/style.css HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [01/Dec/2019:00:23:55 +0530] "POST /travel/search HTTP/1.1" 200 5238
0:0:0:0:0:0:0:1 - - [01/Dec/2019:00:24:53 +0530] "POST /travel/search HTTP/1.1" 200 5262
0:0:0:0:0:0:0:1 - - [01/Dec/2019:00:26:09 +0530] "POST /travel/filter HTTP/1.1" 200 4424
